Proponente,Nome Progetto,Procedura,Cartella,Tipo,Nome Impianto,Localita,Regione,Marca,modello,MWp,Altezza Totale,Mozzo,Lama,Diametro,Longitudine,Latitudine,Altitudine,Catastale,Particella,Note,Doc Origine,Lat Converted,Long Converted
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G1,Orune,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526391,4478279,776,,,,SIA_CA_R001_Rev1.pdf,40.45475433,9.31124830
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G10,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533026,4477453,818,,,,SIA_CA_R001_Rev1.pdf,40.44707581,9.38945519
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G11,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533419,4477718,824,,,,SIA_CA_R001_Rev1.pdf,40.44944746,9.39410344
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G12,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533786,4478014,821,,,,SIA_CA_R001_Rev1.pdf,40.45209925,9.39844704
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G13,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,534561,4478086,834,,,,SIA_CA_R001_Rev1.pdf,40.45271603,9.40759052
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G2,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,525263,4479691,849,,,,SIA_CA_R001_Rev1.pdf,40.46751003,9.29800136
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G3,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,525752,4480039,826,,,,SIA_CA_R001_Rev1.pdf,40.47063013,9.30378363
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G4,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526837,4479390,789,,,,SIA_CA_R001_Rev1.pdf,40.46474898,9.31655521
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G5,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526013,4480465,826,,,,SIA_CA_R001_Rev1.pdf,40.47445980,9.30687995
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G6,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,534700,4478668,806,,,,SIA_CA_R001_Rev1.pdf,40.45795339,9.40926157
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G7,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526201,4479537,834,,,,SIA_CA_R001_Rev1.pdf,40.46609360,9.30905946
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G8,Orune,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,532414,4476322,817,,,,SIA_CA_R001_Rev1.pdf,40.43691082,9.38218070
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G9,Orune,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,532663,4476662,841,,,,SIA_CA_R001_Rev1.pdf,40.43996410,9.38513397
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U01,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.449548777656528,39.72923539715357,"788,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72923539715357,9.449548777656528
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U02,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.451597116972133,39.72889227745453,"796,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72889227745453,9.451597116972133
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U03,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.451958709998314,39.72696660223485,"780,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72696660223485,9.451958709998314
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U04,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.452308079759774,39.72512952684097,"764,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72512952684097,9.452308079759774
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U05,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.466574325604197,39.72478676775808,"761,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72478676775808,9.466574325604197
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U06,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.469208244684259,39.71719730380803,"758,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71719730380803,9.469208244684259
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U07,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.482520307712823,39.72908097348564,"852,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.72908097348564,9.482520307712823
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U08,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.485865749054593,39.7265589409291,"853,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.7265589409291,9.485865749054593
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U09,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.481863123245418,39.71780564727052,"782,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71780564727052,9.481863123245418
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U10,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.484194182699822,39.71869161633091,"806,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71869161633091,9.484194182699822
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U11,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.486471657062681,39.71885961019901,"819,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71885961019901,9.486471657062681
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U12,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.499068057811106,39.71766170543597,"860,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71766170543597,9.499068057811106
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U13,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.497012569185859,39.71635990851049,"862,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71635990851049,9.497012569185859
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U14,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.497012569185859,39.71635990851049,"842,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71635990851049,9.497012569185859
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U15,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.491332945407072,39.71420767356327,"810,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71420767356327,9.491332945407072
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U16,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.491215714829806,39.71223048484452,"821,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71223048484452,9.491215714829806
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U17,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.488096814488154,39.7097457736915,"815,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.7097457736915,9.488096814488154
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U18,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.496736712995869,39.70364072414812,"770,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70364072414812,9.496736712995869
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U19,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.501122276000837,39.70547273789872,"785,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70547273789872,9.501122276000837
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U20,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.500183987301821,39.70417663993678,"785,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70417663993678,9.500183987301821
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U21,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.498279913289162,39.69868222215232,"737,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69868222215232,9.498279913289162
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U22,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.497640410179912,39.69658446999129,"741,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69658446999129,9.497640410179912
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U23,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.497512543007462,39.69571585875727,"727,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69571585875727,9.497512543007462
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U24,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.512145965774373,39.69856011719791,"722,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69856011719791,9.512145965774373
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U25,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.512400492546771,39.69654492190295,"723,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69654492190295,9.512400492546771
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U26,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.506177328788198,39.69181404586667,"705,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69181404586667,9.506177328788198
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U27,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.505706919628434,39.68953664406503,"692,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68953664406503,9.505706919628434
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U28,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.505689376874944,39.68744393919667,"679,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68744393919667,9.505689376874944
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U29,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.50589501542693,39.68544956514281,"644,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68544956514281,9.50589501542693
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U30,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.513473475491645,39.69250487818105,"711,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69250487818105,9.513473475491645
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U31,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.514591037342447,39.69108407130773,"692,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69108407130773,9.514591037342447
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U32,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.514578752391671,39.68994181752482,"684,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68994181752482,9.514578752391671
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U33,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.520284538945223,39.6845856839378,"631,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.6845856839378,9.520284538945223
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U34,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.518473803157033,39.68202886058173,"624,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68202886058173,9.518473803157033
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U35,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.521083780660215,39.68002825509362,"621,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68002825509362,9.521083780660215
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U36,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.517390452013998,39.71422424528838,"776,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71422424528838,9.517390452013998
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U37,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.522319580131329,39.71681883669511,"765,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71681883669511,9.522319580131329
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U38,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.522319580131329,39.71681883669511,"755,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71681883669511,9.522319580131329
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U39,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.522165042411666,39.71307079923673,"749,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.71307079923673,9.522165042411666
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U40,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.526463071378299,39.70890968717827,"712,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70890968717827,9.526463071378299
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U41,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.526463071378299,39.70890968717827,"715,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70890968717827,9.526463071378299
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U42,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.526463071378299,39.70890968717827,"720,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70890968717827,9.526463071378299
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U43,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.532362543053553,39.70481797509046,"676,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.70481797509046,9.532362543053553
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U44,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.531796786762619,39.69862113143684,"683,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69862113143684,9.531796786762619
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U45,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.53300880731476,39.69619565213027,"677,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69619565213027,9.53300880731476
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U46,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.527850853693465,39.69134873219826,"664,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.69134873219826,9.527850853693465
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U47,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.528181200550394,39.68798968893771,"651,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68798968893771,9.528181200550394
Sardeolica S.r.l.,Ulassai,4521,7010,Eolico,U48,Ulassai,Ogliastra,VESTAS,V80,2,112,67,44,90,9.528181200550394,39.68798968893771,"637,00",,,,"ALL1_RELAZIONE.pdf Fig 21, ricavate tramite procedimento inverso (ricerca su earth dei WTG esistenti",39.68798968893771,9.528181200550394
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,508,Ulassai,Ogliastra,,,6,206,125,162,,"39°42'27.75""","9°32'0.19""",673,,,,7424_AM-RTE10001.pdf,"39°42'27.75""","9°32'0.19"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,509,Ulassai,Ogliastra,,,6,206,125,162,,"39°41'40,46""","9°31'09,71""",677,,,,7424_AM-RTE10001.pdf,"39°41'40,46""","9°31'09,71"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,513,Perdasdefogu,Ogliastra,,,6,206,125,162,,"39°41'14,81""","9°29'31,15""",655,,,,7424_AM-RTE10001.pdf,"39°41'14,81""","9°29'31,15"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,514,Perdasdefogu,Ogliastra,,,6,206,125,162,,"39°41'09,25""","9°28'55,68""",632,,,,7424_AM-RTE10001.pdf,"39°41'09,25""","9°28'55,68"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,516,Perdasdefogu,Ogliastra,,,6,206,125,162,,"39°41'29,68""","9°28'33,65""",648,,,,7424_AM-RTE10001.pdf,"39°41'29,68""","9°28'33,65"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,518,Ulassai,Ogliastra,,,6,206,125,162,,"39°41'50.68""","9°30'8.04""",730,,,,7424_AM-RTE10001.pdf,"39°41'50.68""","9°30'8.04"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,523,Ulassai,Ogliastra,,,6,206,125,162,,"39°40'56.61""","9°30'9.07""",612,,,,7424_AM-RTE10001.pdf,"39°40'56.61""","9°30'9.07"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,524,Ulassai,Ogliastra,,,6,206,125,162,,"39°41'5.84""","9°31'24.87""",618,,,,7424_AM-RTE10001.pdf,"39°41'5.84""","9°31'24.87"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG508,Ulassai,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°42'27.75""","9°32'0.19""","667,26",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°42'27.75""","9°32'0.19"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG509,Ulassai,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'40,46""","9°31'09,71""","670,00",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'40,46""","9°31'09,71"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG513,Perdasdefogu,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'14,81""","9°29'31,15""","652,00",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'14,81""","9°29'31,15"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG514,Perdasdefogu,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'09,25""","9°28'55,68""","631,00",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'09,25""","9°28'55,68"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG516,Perdasdefogu,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'29,68""","9°28'33,65""","640,00",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'29,68""","9°28'33,65"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG518,Ulassai,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'50.68""","9°30'8.04""","728,97",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'50.68""","9°30'8.04"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG523,Ulassai,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°40'56.61""","9°30'9.07""","611,16",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°40'56.61""","9°30'9.07"""
Sardeolica S.r.l.,Abbila,5276,7424,Eolico,WTG524,Ulassai,Ogliastra,VESTAS,"V162-6,0MW","6,00",206,125,"81,00",162,"39°41'5.84""","9°31'24.87""","610,00",,,"— n. 48 WTG Vestas V80 con altezza al mozzo di 67 m e diametro del rotore di 80 m in
corso di Reblading V90,
— n. 9 WTG Vestas V117 con altezza al mozzo variabile nell’intervallo 91.5÷116.50 m e
diametro del rotore di 117 m.",AM-RTE10001.pdf AM-IAC10009-2a.pdf,"39°41'5.84""","9°31'24.87"""
Ichnusa Wind Power S.r.l.,PARCO EOLICO FLOTTANTE NEL MARE DI SARDEGNA SUD OCCIDENTALE,5355,7505,Eolico Offshore,FOS-A,SARDEGNA SUD OCCIDENTALE,SARDEGNA SUD OCCIDENTALE,GE Vernova,Haliade-X,12,280,160,120,"240,00",39.391481°,7.946971°,,,,,F0219T_T03_AREDEM_00_a.pdf,39.391481,7.946971
Ichnusa Wind Power S.r.l.,PARCO EOLICO FLOTTANTE NEL MARE DI SARDEGNA SUD OCCIDENTALE,5355,7505,Eolico Offshore,FOS-B,SARDEGNA SUD OCCIDENTALE,SARDEGNA SUD OCCIDENTALE,GE Vernova,Haliade-X,12,280,160,120,"240,00",39.440225°,7.956696°,,,,,F0219T_T03_AREDEM_00_a.pdf,39.440225,7.956696
Ichnusa Wind Power S.r.l.,PARCO EOLICO FLOTTANTE NEL MARE DI SARDEGNA SUD OCCIDENTALE,5355,7505,Eolico Offshore,T10A,SARDEGNA SUD OCCIDENTALE,SARDEGNA SUD OCCIDENTALE,GE Vernova,Haliade-X,12,280,160,120,"240,00",39.390695°,7.863376°,,,,dati produttore dedotti da MW. Diametro calcolato sull a base delle distanze minime tra generatori,F0219T_T03_AREDEM_00_a.pdf,39.390695,7.863376
Ichnusa Wind Power S.r.l.,PARCO EOLICO FLOTTANTE NEL MARE DI SARDEGNA SUD OCCIDENTALE,5355,7505,Eolico Offshore,T10B,SARDEGNA SUD OCCIDENTALE,SARDEGNA SUD OCCIDENTALE,GE Vernova,Haliade-X,12,280,160,120,"240,00",39.439445°,7.873041°,,,,dati produttore dedotti da MW. Diametro calcolato sull a base delle distanze minime tra generatori,F0219T_T03_AREDEM_00_a.pdf,39.439445,7.873041
Ichnusa Wind Power S.r.l.,PARCO EOLICO FLOTTANTE NEL MARE DI SARDEGNA SUD OCCIDENTALE,5355,7505,Eolico Offshore,T11A,SARDEGNA SUD OCCIDENTALE,SARDEGNA SUD OCCIDENTALE,GE Vernova,Haliade-X,12,280,160,120,"240,00",39.390489°,7.842477°,,,,dati produttore dedotti da MW. Diametro calcolato sull a base delle distanze minime tra generatori,F0219T_T03_AREDEM_00_a.pdf,39.390489,7.842477
